OSP_ID;LAT;LON;COG;SOG_u;STW_u;TH;SP_ID;SOG_v;STW_v;OS_ID
267096;56,1071;3,06511;-2,06721;0,608121;0,606363;3,75676;322523;-0,062028;-0,061846;0
267097;56,1071;3,06511;-1,98106;0,616516;0,61476;3,84393;322524;-0,062895;-0,062714;0
267098;56,1071;3,06511;-1,89395;0,624906;0,623142;3,93209;322525;-0,063763;-0,06358;0
267099;56,1071;3,06511;-1,80593;0,633288;0,631523;4,02124;322526;-0,06463;-0,064448;0
267100;56,1071;3,06511;-1,71692;0,641658;0,639897;4,11137;322527;-0,065497;-0,065315;0
267101;56,1071;3,06511;-1,62698;0,650023;0,648268;4,20248;322528;-0,066365;-0,066183;0
267102;56,1071;3,06511;-1,53612;0,658384;0,656634;4,29455;322529;-0,067232;-0,06705;0
267103;56,1071;3,06511;-1,44432;0,666742;0,664995;4,38758;322530;-0,0681;-0,067919;0
267104;56,1071;3,06511;-1,35162;0,675094;0,673342;4,48156;322531;-0,068969;-0,068787;0
267105;56,1071;3,06511;-1,258;0,683439;0,681683;4,57649;322532;-0,069837;-0,069654;0
267106;56,1071;3,06511;-1,1635;0,691776;0,690018;4,67235;322533;-0,070705;-0,070522;0
267107;56,1071;3,06511;-1,06807;0,700099;0,698347;4,76915;322534;-0,071573;-0,07139;0
267108;56,1071;3,06511;-0,971767;0,708417;0,70667;4,86686;322535;-0,072441;-0,072259;0
267109;56,1071;3,06511;-0,874575;0,716731;0,714988;4,96548;322536;-0,073309;-0,073127;0
267110;56,1072;3,06511;-0,77651;0,725039;0,723299;5,06501;322537;-0,074178;-0,073996;0
267111;56,1072;3,06511;-0,677574;0,733341;0,731604;5,16544;322538;-0,075046;-0,074865;0
267112;56,1072;3,06511;-0,577774;0,741637;0,739903;5,26676;322539;-0,075915;-0,075733;0
267113;56,1072;3,06511;-0,477121;0,749926;0,748193;5,36896;322540;-0,076784;-0,076603;0
267114;56,1072;3,06511;-0,375616;0,758209;0,756473;5,47204;322541;-0,077653;-0,077471;0
267115;56,1072;3,06511;-0,273267;0,766487;0,764751;5,57599;322542;-0,078523;-0,07834;0
267116;56,1072;3,06511;-0,170084;0,774757;0,773021;5,68079;322543;-0,079392;-0,07921;0
267117;56,1072;3,06511;-0,066071;0,78302;0,781284;5,78645;322544;-0,080261;-0,080079;0
267118;56,1072;3,06511;0,038766;0,791275;0,789539;5,89296;322545;-0,081131;-0,080948;0
267119;56,1072;3,06511;0,144417;0,799522;0,797787;6,0003;322546;-0,082;-0,081818;0
267120;56,1072;3,06511;0,250878;0,807761;0,806027;6,10848;322547;-0,08287;-0,082687;0
267121;56,1072;3,06511;0,358144;0,815993;0,814259;6,21747;322548;-0,083739;-0,083556;0
267122;56,1072;3,06511;0,466206;0,824219;0,822486;6,32729;322549;-0,084609;-0,084426;0
267123;56,1072;3,06511;0,575058;0,832438;0,830706;6,43791;322550;-0,085479;-0,085295;0
267124;56,1073;3,06511;0,684692;0,84065;0,838921;6,54933;322551;-0,086348;-0,086165;0
267125;56,1073;3,06511;0,795104;0,848854;0,847127;6,66155;322552;-0,087218;-0,087035;0
267126;56,1073;3,06511;0,906289;0,857051;0,855327;6,77455;322553;-0,088088;-0,087905;0
267127;56,1073;3,06511;1,01824;0,865242;0,863522;6,88833;322554;-0,088958;-0,088775;0
267128;56,1073;3,06511;1,13095;0,873426;0,87171;7,00289;322555;-0,089828;-0,089645;0
267129;56,1073;3,06511;1,2444;0,881602;0,879891;7,11821;322556;-0,090697;-0,090515;0
267130;56,1073;3,06511;1,35861;0,889771;0,888065;7,23429;322557;-0,091567;-0,091385;0
267131;56,1073;3,06511;1,47355;0,897932;0,896226;7,35112;322558;-0,092437;-0,092255;0
267132;56,1073;3,06511;1,58922;0,906085;0,90438;7,46869;322559;-0,093307;-0,093124;0
267133;56,1073;3,06511;1,70562;0,914231;0,912526;7,587;322560;-0,094176;-0,093994;0
267134;56,1073;3,06511;1,82274;0,922369;0,920664;7,70604;322561;-0,095046;-0,094863;0
267135;56,1073;3,06511;1,94058;0,930502;0,928795;7,8258;322562;-0,095915;-0,095733;0
267136;56,1073;3,06511;2,05913;0,938628;0,93692;7,94627;322563;-0,096785;-0,096602;0
267137;56,1074;3,06511;2,17837;0,946749;0,945038;8,06746;322564;-0,097655;-0,097471;0
267138;56,1074;3,06512;2,29833;0,954863;0,953151;8,18935;322565;-0,098524;-0,098341;0
267139;56,1074;3,06512;2,41896;0,962961;0,961255;8,31193;322566;-0,099393;-0,09921;0
267140;56,1074;3,06512;2,54027;0,971053;0,969354;8,4352;322567;-0,100262;-0,100079;0
267141;56,1074;3,06512;2,66226;0,979139;0,977448;8,55915;322568;-0,10113;-0,100949;0
267142;56,1074;3,06512;2,78493;0,987219;0,985529;8,68378;322569;-0,101999;-0,101817;0
267143;56,1074;3,06512;2,90826;0,995293;0,9936;8,80908;322570;-0,102868;-0,102686;0
267144;56,1074;3,06512;3,03225;1,00336;1,00167;8,93504;322571;-0,103737;-0,103554;0
267145;56,1074;3,06512;3,15689;1,01142;1,00972;9,06165;322572;-0,104605;-0,104422;0
267146;56,1074;3,06512;3,2822;1,01947;1,01777;9,18891;322573;-0,105473;-0,10529;0
267147;56,1074;3,06512;3,40814;1,02751;1,02582;9,31682;322574;-0,10634;-0,106158;0
267148;56,1075;3,06512;3,53471;1,03554;1,03386;9,44536;322575;-0,107207;-0,107026;0
267149;56,1075;3,06512;3,66191;1,04356;1,04188;9,57453;322576;-0,108074;-0,107892;0
267150;56,1075;3,06513;3,78974;1,05158;1,0499;9,70432;322577;-0,108941;-0,108759;0
267151;56,1075;3,06513;3,9182;1,0596;1,05791;9,83473;322578;-0,109808;-0,109625;0
267152;56,1075;3,06513;4,04728;1,0676;1,06592;9,96575;322579;-0,110674;-0,110491;0
267153;56,1075;3,06513;4,17695;1,07559;1,07392;10,0974;322580;-0,111539;-0,111358;0
267154;56,1075;3,06513;4,30723;1,08358;1,08191;10,2296;322581;-0,112405;-0,112223;0
267155;56,1075;3,06513;4,43811;1,09156;1,08989;10,3624;322582;-0,11327;-0,113088;0
267156;56,1075;3,06513;4,56959;1,09954;1,09786;10,4958;322583;-0,114135;-0,113953;0
267157;56,1075;3,06513;4,70166;1,1075;1,10583;10,6298;322584;-0,114999;-0,114817;0
267158;56,1076;3,06514;4,83431;1,11546;1,11379;10,7644;322585;-0,115863;-0,115682;0
267159;56,1076;3,06514;4,96753;1,12341;1,12174;10,8995;322586;-0,116726;-0,116545;0
267160;56,1076;3,06514;5,10133;1,13135;1,12968;11,0352;322587;-0,117589;-0,117408;0
267161;56,1076;3,06514;5,2357;1,13929;1,13761;11,1714;322588;-0,118452;-0,11827;0
267162;56,1076;3,06514;5,37063;1,14721;1,14554;11,3082;322589;-0,119313;-0,119133;0
267163;56,1076;3,06514;5,50611;1,15512;1,15347;11,4456;322590;-0,120174;-0,119994;0
267164;56,1076;3,06515;5,64215;1,16303;1,16137;11,5835;322591;-0,121035;-0,120854;0
267165;56,1076;3,06515;5,77873;1,17093;1,16927;11,7219;322592;-0,121896;-0,121714;0
267166;56,1076;3,06515;5,91587;1,17883;1,17717;11,8608;322593;-0,122755;-0,122574;0
267167;56,1076;3,06515;6,05353;1,18671;1,18506;12,0003;322594;-0,123614;-0,123434;0
267168;56,1077;3,06515;6,19173;1,19459;1,19293;12,1403;322595;-0,124472;-0,124292;0
267169;56,1077;3,06516;6,33046;1,20246;1,2008;12,2808;322596;-0,125331;-0,12515;0
267170;56,1077;3,06516;6,46972;1,21032;1,20867;12,4218;322597;-0,126187;-0,126007;0
267171;56,1077;3,06516;6,60949;1,21817;1,21653;12,5634;322598;-0,127043;-0,126864;0
267172;56,1077;3,06516;6,74978;1,22602;1,22437;12,7054;322599;-0,1279;-0,12772;0
267173;56,1077;3,06517;6,89059;1,23386;1,23221;12,8479;322600;-0,128755;-0,128575;0
267174;56,1077;3,06517;7,03189;1,24169;1,24005;12,9909;322601;-0,129609;-0,12943;0
267175;56,1077;3,06517;7,17369;1,24951;1,24787;13,1344;322602;-0,130462;-0,130283;0
267176;56,1077;3,06517;7,31601;1,25733;1,25568;13,2783;322603;-0,131316;-0,131136;0
267177;56,1078;3,06518;7,4588;1,26513;1,2635;13,4228;322604;-0,132167;-0,131988;0
267178;56,1078;3,06518;7,60208;1,27293;1,2713;13,5677;322605;-0,133018;-0,132839;0
267179;56,1078;3,06518;7,74585;1,28072;1,27908;13,7131;322606;-0,133868;-0,133689;0
267180;56,1078;3,06518;7,89011;1,2885;1,28687;13,8589;322607;-0,134717;-0,134539;0
267181;56,1078;3,06519;8,03483;1,29627;1,29465;14,0052;322608;-0,135565;-0,135388;0
267182;56,1078;3,06519;8,18003;1,30403;1,3024;14,1519;322609;-0,136412;-0,136234;0
267183;56,1078;3,06519;8,3257;1,3118;1,31016;14,2991;322610;-0,137259;-0,137081;0
267184;56,1078;3,0652;8,47182;1,31954;1,31792;14,4467;322611;-0,138104;-0,137928;0
267185;56,1078;3,0652;8,61841;1,32728;1,32565;14,5948;322612;-0,138949;-0,138772;0
267186;56,1079;3,0652;8,76546;1,33502;1,33339;14,7433;322613;-0,139793;-0,139615;0
267187;56,1079;3,06521;8,91295;1,34274;1,34112;14,8922;322614;-0,140635;-0,140459;0
267188;56,1079;3,06521;9,0609;1,35045;1,34883;15,0415;322615;-0,141477;-0,1413;0
267189;56,1079;3,06521;9,2093;1,35817;1,35654;15,1913;322616;-0,142317;-0,142141;0
267190;56,1079;3,06522;9,35812;1,36586;1,36425;15,3415;322617;-0,143156;-0,142981;0
267191;56,1079;3,06522;9,50739;1,37356;1,37194;15,4921;322618;-0,143995;-0,143819;0
267192;56,1079;3,06522;9,65709;1,38124;1,37963;15,6431;322619;-0,144832;-0,144657;0
267193;56,1079;3,06523;9,80723;1,38892;1,38731;15,7945;322620;-0,145668;-0,145493;0
267194;56,108;3,06523;9,95778;1,39659;1,39498;15,9463;322621;-0,146504;-0,146328;0
267195;56,108;3,06523;10,1088;1,40425;1,40264;16,0985;322622;-0,147337;-0,147163;0
267196;56,108;3,06524;10,2602;1,4119;1,4103;16,2511;322623;-0,14817;-0,147995;0
267197;56,108;3,06524;10,412;1,41955;1,41794;16,4041;322624;-0,149002;-0,148827;0
267198;56,108;3,06525;10,5642;1,42718;1,42558;16,5574;322625;-0,149831;-0,149658;0
267199;56,108;3,06525;10,7169;1,43481;1,4332;16,7112;322626;-0,15066;-0,150486;0
267200;56,108;3,06526;10,8699;1,44243;1,44082;16,8653;322627;-0,151488;-0,151314;0
267201;56,108;3,06526;11,0234;1,45003;1,44844;17,0198;322628;-0,152314;-0,152141;0
267202;56,1081;3,06526;11,1772;1,45764;1,45603;17,1747;322629;-0,153139;-0,152965;0
267203;56,1081;3,06527;11,3314;1,46522;1,46363;17,3299;322630;-0,153962;-0,153789;0
267204;56,1081;3,06527;11,4861;1,47281;1,47122;17,4855;322631;-0,154784;-0,154612;0
267205;56,1081;3,06528;11,6411;1,48039;1,47879;17,6415;322632;-0,155606;-0,155433;0
267206;56,1081;3,06528;11,7965;1,48795;1,48637;17,7978;322633;-0,156424;-0,156253;0
267207;56,1081;3,06529;11,9523;1,49552;1,49393;17,9545;322634;-0,157243;-0,157071;0
267208;56,1081;3,06529;12,1085;1,50307;1,50148;18,1115;322635;-0,15806;-0,157888;0
267209;56,1081;3,0653;12,2651;1,51061;1,50903;18,2689;322636;-0,158875;-0,158704;0
267210;56,1082;3,0653;12,422;1,51816;1,51657;18,4266;322637;-0,159689;-0,159518;0
267211;56,1082;3,06531;12,5793;1,52568;1,52411;18,5847;322638;-0,160501;-0,160331;0
267212;56,1082;3,06531;12,737;1,5332;1,53162;18,7431;322639;-0,161312;-0,161141;0
267213;56,1082;3,06532;12,895;1,54071;1,53913;18,9019;322640;-0,162121;-0,161952;0
267214;56,1082;3,06533;13,0534;1,54821;1,54664;19,0609;322641;-0,162929;-0,162759;0
267215;56,1082;3,06533;13,2122;1,55571;1,55413;19,2203;322642;-0,163736;-0,163566;0
267216;56,1082;3,06534;13,3713;1,56319;1,56163;19,3801;322643;-0,16454;-0,164372;0
267217;56,1083;3,06534;13,5308;1,57069;1,5691;19,5402;322644;-0,165344;-0,165175;0
267218;56,1083;3,06535;13,6907;1,57815;1,57659;19,7005;322645;-0,166145;-0,165978;0
267219;56,1083;3,06536;13,8508;1,58561;1,58404;19,8612;322646;-0,166946;-0,166777;0
267220;56,1083;3,06536;14,0114;1,59307;1,5915;20,0223;322647;-0,167744;-0,167576;0
267221;56,1083;3,06537;14,1723;1,60051;1,59895;20,1836;322648;-0,16854;-0,168373;0
267222;56,1083;3,06537;14,3335;1,60795;1,60639;20,3453;322649;-0,169336;-0,169169;0
267223;56,1083;3,06538;14,4951;1,61538;1,61382;20,5072;322650;-0,170128;-0,169963;0
267224;56,1084;3,06539;14,657;1,62281;1,62124;20,6695;322651;-0,170921;-0,170754;0
267225;56,1084;3,06539;14,8193;1,63021;1,62866;20,8321;322652;-0,17171;-0,171545;0
267226;56,1084;3,0654;14,9819;1,63762;1,63606;20,995;322653;-0,172499;-0,172333;0
267227;56,1084;3,06541;15,1448;1,64501;1,64346;21,1581;322654;-0,173285;-0,17312;0
267228;56,1084;3,06541;15,308;1,6524;1,65085;21,3216;322655;-0,17407;-0,173905;0
267229;56,1084;3,06542;15,4716;1,65978;1,65823;21,4854;322656;-0,174853;-0,174688;0
267230;56,1084;3,06543;15,6355;1,66714;1,6656;21,6495;322657;-0,175633;-0,17547;0
267231;56,1085;3,06544;15,7998;1,67451;1,67296;21,8138;322658;-0,176413;-0,176249;0
267232;56,1085;3,06544;15,9643;1,68186;1,68032;21,9785;322659;-0,17719;-0,177028;0
267233;56,1085;3,06545;16,1292;1,68921;1,68766;22,1434;322660;-0,177967;-0,177803;0
267234;56,1085;3,06546;16,2944;1,69654;1,69501;22,3086;322661;-0,17874;-0,178578;0
267235;56,1085;3,06547;16,4599;1,70387;1,70233;22,4741;322662;-0,179512;-0,17935;0
267236;56,1085;3,06547;16,6257;1,71119;1,70965;22,6399;322663;-0,180282;-0,18012;0
267237;56,1085;3,06548;16,7918;1,71849;1,71696;22,806;322664;-0,18105;-0,180889;0
267238;56,1086;3,06549;16,9583;1,7258;1,72427;22,9723;322665;-0,181817;-0,181656;0
267239;56,1086;3,0655;17,1251;1,73309;1,73157;23,139;322666;-0,182581;-0,182421;0
267240;56,1086;3,06551;17,2921;1,74039;1,73885;23,3059;322667;-0,183344;-0,183183;0
267241;56,1086;3,06552;17,4595;1,74766;1,74614;23,473;322668;-0,184104;-0,183945;0
267242;56,1086;3,06552;17,6271;1,75494;1,7534;23,6405;322669;-0,184864;-0,184704;0
267243;56,1086;3,06553;17,7951;1,76219;1,76068;23,8082;322670;-0,18562;-0,185462;0
267244;56,1086;3,06554;17,9634;1,76946;1,76792;23,9762;322671;-0,186376;-0,186217;0
267245;56,1087;3,06555;18,132;1,77669;1,77518;24,1444;322672;-0,187128;-0,186971;0
267246;56,1087;3,06556;18,3008;1,78394;1,78241;24,3129;322673;-0,18788;-0,187722;0
267247;56,1087;3,06557;18,47;1,79116;1,78965;24,4817;322674;-0,188628;-0,188472;0
267248;56,1087;3,06558;18,6394;1,79839;1,79687;24,6507;322675;-0,189376;-0,189219;0
267249;56,1087;3,06559;18,8092;1,8056;1,80409;24,82;322676;-0,190121;-0,189965;0
267250;56,1087;3,0656;18,9792;1,8128;1,81129;24,9896;322677;-0,190864;-0,190708;0
267251;56,1088;3,06561;19,1496;1,82;1,81849;25,1594;322678;-0,191605;-0,191449;0
267252;56,1088;3,06562;19,3202;1,82718;1,82568;25,3294;322679;-0,192344;-0,192189;0
267253;56,1088;3,06563;19,4911;1,83437;1,83286;25,4998;322680;-0,193081;-0,192926;0
267254;56,1088;3,06564;19,6623;1,84153;1,84003;25,6703;322681;-0,193816;-0,193662;0
267255;56,1088;3,06565;19,8337;1,8487;1,84719;25,8412;322682;-0,194549;-0,194395;0
267256;56,1088;3,06566;20,0055;1,85585;1,85435;26,0122;322683;-0,195279;-0,195127;0
267257;56,1089;3,06567;20,1775;1,863;1,86149;26,1836;322684;-0,196009;-0,195855;0
267258;56,1089;3,06568;20,3498;1,87013;1,86864;26,3551;322685;-0,196735;-0,196583;0
267259;56,1089;3,06569;20,5224;1,87727;1,87577;26,5269;322686;-0,197461;-0,197307;0
267260;56,1089;3,0657;20,6952;1,88438;1,8829;26,699;322687;-0,198182;-0,198032;0
267261;56,1089;3,06571;20,8684;1,89151;1,89001;26,8713;322688;-0,198904;-0,198751;0
